単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
54,3,3,1,-,電気代,51768,49885,49893,51797,52641,52982,53416,54009,58421,57231,60190,57608,61696,65779,66784,67189,63839,64704,70227,68399,69498,65790,81695,80713,81074
55,3,3,2,-,ガス代,35354,35843,35035,36350,36275,35403,37725,36633,40442,40163,36798,38478,39303,39754,39680,39492,35991,36956,37246,36139,36256,36014,39971,40310,36677
56,3,3,3,-,他の光熱,6359,6542,5706,5299,5544,8445,9973,9440,9875,7658,8118,10837,11821,11647,11416,8235,6777,8634,9007,9855,8427,7815,10119,8648,8663
57,3,3,4,-,上下水道料,20219,20034,20846,20836,21634,21902,22113,22858,23260,22732,23744,23591,24044,25188,24351,25105,25738,26266,25703,25434,26059,26978,25396,26874,27386
58,2,4,-,-,家具・家事用品,59368,59170,53078,54901,52353,54280,50889,58846,52289,61054,54219,58771,60151,64059,59657,54505,65809,63210,58015,65318,64714,69960,67350,71465,71252
59,3,4,1,-,家庭用耐久財,15752,20872,15490,14308,14996,17762,17014,19024,15846,19597,16901,17115,21288,23489,18972,16483,24214,21393,16987,23496,16599,20857,20708,23957,23028
60,4,4,1,1,家事用耐久財,8284,9315,6810,7207,8097,10196,9185,10389,8896,10729,8323,8269,9051,12008,9527,9005,9213,10649,8759,12722,8267,11419,11338,15035,10380
61,4,4,1,2,冷暖房用器具,5035,8023,6219,4611,5098,5209,4723,5382,5780,5712,7771,6215,8005,8536,6798,6237,12078,8107,6800,6804,6502,7064,7550,6910,10124
62,4,4,1,3,一般家具,2433,3534,2461,2490,1800,2357,3106,3253,1171,3155,808,2630,4233,2945,2648,1241,2923,2637,1428,3970,1830,2374,1819,2013,2523
63,3,4,2,-,室内装備・装飾品,8401,6119,6970,12041,5225,6580,4233,5929,5543,6421,4387,5664,5054,5728,5944,4023,5187,5274,4242,4223,3706,4467,5085,3316,3567
64,3,4,3,-,寝具類,7693,4289,3957,2486,4810,3677,3531,5324,2652,5871,3429,4492,2402,4161,3720,2604,3283,3451,5201,3365,5799,7085,4438,3341,3700
65,3,4,4,-,家事雑貨,11811,11586,12666,11009,11857,11122,11128,12587,11870,12549,11558,11708,12295,11469,12437,12344,12920,12412,12019,13343,14901,14317,14034,16643,14371
66,3,4,5,-,家事用消耗品,10073,9294,9373,9895,10106,9723,9870,10550,11235,11541,11557,12025,12113,12537,12626,12386,13718,13959,13614,14875,17393,17437,16812,18636,19855
67,3,4,6,-,家事サービス,5638,7011,4622,5162,5358,5415,5113,5433,5143,5075,6386,7767,6999,6674,5957,6665,6488,6721,5953,6017,6317,5797,6274,5571,6732
68,2,5,-,-,被服及び履物,114711,104293,108370,97465,108643,93660,99589,96571,98891,91363,82973,81166,74519,73902,82010,83286,70883,71993,67523,71819,58914,58121,63358,56542,62105
69,3,5,1,-,和服,3726,1257,2867,3609,5993,1681,9487,4493,2988,3193,994,2912,3427,883,2303,2070,1132,1226,1196,1192,498,547,136,205,1067
70,3,5,2,-,洋服,48794,47215,46414,43265,46500,38676,41649,40828,44237,41117,35542,32144,27540,29546,35034,34896,27476,30096,28428,30438,24503,23200,28138,22063,24958
71,4,5,2,1,男子用洋服,15329,17674,16559,13953,13116,13329,15591,14484,17934,15299,12556,9616,7886,11364,11058,12115,9629,10766,11262,9224,7783,7378,12263,8259,8371
72,4,5,2,2,婦人用洋服,32358,28634,28571,27876,31869,24380,25199,25059,25107,24592,22050,21477,18951,17297,22933,21749,16748,18544,16373,20268,15869,15248,15399,12901,15986
